order_item_id,order_id,product_id,quantity,unit_price
1,1210,9,1,19.99
2,1527,4,2,8.99
3,1654,10,2,24
4,1508,7,3,249
5,1466,6,1,15.75
6,1332,8,2,9.5
7,1227,1,2,6.49
8,1079,7,5,249
9,1147,2,3,45
10,1107,4,1,8.99
11,1089,2,2,45
12,1027,8,3,9.5
13,1069,8,5,9.5
14,1234,9,2,19.99
15,1645,10,2,24
16,1599,6,1,15.75
17,1609,7,4,249
18,1411,2,4,45
19,1003,10,2,24
20,1295,7,2,249
21,1424,2,3,45
22,1484,9,1,19.99
23,1222,9,4,19.99
24,1653,3,4,22.3
25,1391,10,1,24
26,1149,9,2,19.99
27,1164,2,5,45
28,1417,1,1,6.49
29,1657,10,4,24
30,1324,2,4,45
31,1294,1,3,6.49
32,1310,10,5,24
33,1456,2,5,45
34,1131,5,4,129.99
35,1399,2,3,45
36,1370,5,4,129.99
37,1192,4,5,8.99
38,1543,10,1,24
39,1033,9,4,19.99
40,1021,1,4,6.49
41,1161,9,1,19.99
42,1620,5,5,129.99
43,1217,2,4,45
44,1283,9,1,19.99
45,1036,2,5,45
46,1208,9,1,19.99
47,1045,10,1,24
48,1172,9,4,19.99
49,1076,10,3,24
50,1500,1,2,6.49
51,1541,7,4,249
52,1627,6,2,15.75
53,1012,9,1,19.99
54,1472,10,3,24
55,1402,10,4,24
56,1001,6,3,15.75
57,1648,9,4,19.99
58,1028,5,5,129.99
59,1277,6,3,15.75
60,1011,3,4,22.3
61,1404,5,4,129.99
62,1193,3,2,22.3
63,1353,5,2,129.99
64,1528,9,4,19.99
65,1576,3,2,22.3
66,1110,2,1,45
67,1485,4,5,8.99
68,1179,3,3,22.3
69,1280,7,2,249
70,1565,6,4,15.75
71,1482,9,2,19.99
72,1519,7,4,249
73,1246,2,5,45
74,1622,1,1,6.49
75,1556,1,2,6.49
76,1423,5,5,129.99
77,1635,5,4,129.99
78,1257,9,3,19.99
79,1043,6,3,15.75
80,1572,8,2,9.5
81,1038,10,4,24
82,1474,1,1,6.49
83,1613,8,4,9.5
84,1080,2,2,45
85,1050,10,5,24
86,1403,10,4,24
87,1396,10,4,24
88,1251,7,3,249
89,1221,3,5,22.3
90,1595,9,3,19.99
91,1373,3,3,22.3
92,1016,9,3,19.99
93,1514,10,1,24
94,1184,10,1,24
95,1473,9,2,19.99
96,1371,9,2,19.99
97,1143,7,5,249
98,1497,3,3,22.3
99,1630,10,2,24
100,1361,4,5,8.99
101,1191,4,4,8.99
102,1590,10,1,24
103,1389,10,2,24
104,1628,8,2,9.5
105,1304,6,1,15.75
106,1437,7,2,249
107,1450,10,1,24
108,1344,8,5,9.5
109,1266,3,1,22.3
110,1662,3,4,22.3
111,1044,4,2,8.99
112,1504,3,5,22.3
113,1081,4,4,8.99
114,1465,8,5,9.5
115,1441,7,1,249
116,1187,1,4,6.49
117,1663,1,1,6.49
118,1085,1,3,6.49
119,1655,8,2,9.5
120,1375,3,2,22.3
121,1646,1,2,6.49
122,1306,5,1,129.99
123,1517,4,2,8.99
124,1312,1,3,6.49
125,1486,10,5,24
126,1170,2,5,45
127,1054,8,4,9.5
128,1237,4,5,8.99
129,1451,1,2,6.49
130,1204,8,2,9.5
131,1247,8,2,9.5
132,1062,9,2,19.99
133,1507,5,3,129.99
134,1226,7,5,249
135,1009,9,3,19.99
136,1436,4,2,8.99
137,1454,8,4,9.5
138,1292,8,3,9.5
139,1273,10,2,24
140,1432,7,4,249
141,1462,5,1,129.99
142,1547,2,4,45
143,1340,10,5,24
144,1136,9,2,19.99
145,1286,9,3,19.99
146,1476,10,2,24
147,1647,3,4,22.3
148,1151,9,1,19.99
149,1150,3,1,22.3
150,1629,5,3,129.99
151,1495,1,1,6.49
