product_id,product_name,category,unit_price,product_key
1,Ballpoint Pens (12pk),Office supplies,6.49,ballpoint pens (12pk)
2,Bluetooth Speaker,Electronics,45,bluetooth speaker
3,Desk Lamp,Furniture,22.3,desk lamp
4,Notebook Set,Office supplies,8.99,notebook set
5,Office Chair,Furniture,129.99,office chair
6,Stainless Water Bottle,Fitness,15.75,stainless water bottle
7,Standing Desk,Furniture,249,standing desk
8,USB-C Cable 6ft,Electronics,9.5,usb-c cable 6ft
9,wireless mouse,Electronics,19.99,wireless mouse
10,Yoga Mat,Fitness,24,yoga mat
