order_id,customer_id,order_date,status
1001,154,2023-10-23,Cancelled
1002,138,2023-09-12,Delivered
1003,82,2023-02-10,Pending
1004,58,2023-12-25,Shipped
1005,151,2023-04-18,Cancelled
1006,24,2024-07-17,Delivered
1007,72,2023-12-28,Shipped
1008,63,2023-08-12,Shipped
1009,28,2024-06-04,Shipped
1010,129,2023-10-01,Delivered
1011,127,2023-04-10,Delivered
1012,144,2023-11-17,Delivered
1013,9,2023-09-12,Cancelled
1014,76,2023-02-12,Pending
1015,59,2023-11-06,Cancelled
1016,8,2024-09-16,Delivered
1017,75,2024-06-14,Cancelled
1018,51,2023-12-14,Shipped
1019,163,2024-10-23,Cancelled
1020,14,2024-02-22,Shipped
1021,127,2024-02-08,Cancelled
1023,122,2023-08-25,Pending
1024,178,2023-09-13,Delivered
1025,57,2023-03-28,Shipped
1026,50,2024-09-18,Shipped
1027,112,2023-04-26,Cancelled
1028,70,2024-02-10,Cancelled
1029,169,2024-08-22,Shipped
1030,25,2024-03-06,Pending
1031,181,2024-03-21,Shipped
1032,147,2023-01-03,Delivered
1033,112,2024-08-08,Cancelled
1034,65,2023-06-20,Pending
1035,136,2023-04-15,Cancelled
1036,26,2024-03-27,Delivered
1037,63,2024-01-03,Delivered
1038,75,2023-09-01,Shipped
1039,179,2023-10-18,Delivered
1040,110,2024-02-13,Pending
1041,56,2024-01-05,Cancelled
1042,88,2024-07-20,Cancelled
1043,171,2023-10-10,Delivered
1044,61,2024-03-17,Delivered
1045,161,2024-07-05,Cancelled
1046,129,2024-09-11,Pending
1047,152,2023-10-16,Delivered
1048,95,2024-08-12,Shipped
1049,77,2023-05-23,Cancelled
1050,20,2023-03-04,Shipped
1051,112,2024-06-23,Shipped
1052,162,2024-05-11,Shipped
1054,81,2024-07-26,Delivered
1055,42,2024-08-21,Cancelled
1056,5,2024-01-24,Delivered
1057,179,2023-07-22,Shipped
1058,66,2024-05-11,Delivered
1059,120,2024-03-13,Delivered
1060,180,2024-07-23,Delivered
1061,163,2023-10-04,Shipped
1062,40,2023-09-15,Shipped
1063,7,2023-07-09,Shipped
1064,12,2024-01-10,Shipped
1065,47,2023-07-13,Pending
1066,86,2024-01-10,Cancelled
1067,167,2024-01-26,Delivered
1068,31,2024-12-02,Delivered
1069,7,2024-12-19,Delivered
1070,78,2023-05-02,Cancelled
1071,117,2024-07-05,Shipped
1072,27,2024-09-14,Cancelled
1073,47,2023-09-24,Delivered
1074,6,2024-04-28,Shipped
1075,153,2024-07-08,Cancelled
1076,90,2024-02-26,Delivered
1077,111,2024-09-19,Shipped
1078,42,2024-08-24,Shipped
1079,88,2023-09-21,Shipped
1080,66,2023-12-05,Cancelled
1081,1,2024-01-18,Shipped
1082,168,2023-02-04,Delivered
1083,14,2023-07-15,Delivered
1084,159,2024-07-13,Shipped
1085,109,2024-04-07,Shipped
1086,165,2023-06-01,Cancelled
1087,111,2023-07-25,Pending
1088,85,2024-01-21,Cancelled
1089,4,2023-10-10,Shipped
1090,36,2023-02-03,Cancelled
1091,141,2024-09-18,Shipped
1092,58,2024-05-14,Delivered
1093,64,2023-05-16,Shipped
1094,157,2024-12-21,Cancelled
1095,77,2024-08-11,Delivered
1096,8,2024-06-10,Pending
1097,86,2023-11-25,Delivered
1098,51,2023-11-10,Shipped
1099,169,2024-09-17,Pending
1100,58,2024-11-22,Shipped
1101,47,2024-01-04,Delivered
1102,24,2023-01-16,Cancelled
1103,154,2024-04-17,Cancelled
1104,173,2023-12-04,Shipped
1105,172,2024-09-14,Cancelled
1106,18,2024-08-19,Shipped
1107,12,2024-06-07,Delivered
1108,112,2024-10-04,Cancelled
1109,95,2023-06-04,Shipped
1110,56,2024-07-06,Shipped
1111,15,2023-01-16,Cancelled
1112,142,2023-08-06,Delivered
1113,10,2023-09-17,Delivered
1114,130,2023-07-04,Shipped
1115,50,2024-12-19,Shipped
1116,121,2023-10-18,Delivered
1117,63,2023-01-09,Delivered
1118,178,2024-10-21,Cancelled
1119,30,2024-08-16,Shipped
1120,1,2023-04-14,Delivered
1121,110,2023-11-25,Shipped
1122,171,2023-01-14,Delivered
1123,143,2023-06-22,Cancelled
1124,92,2023-04-16,Delivered
1125,135,2024-12-05,Delivered
1127,139,2023-03-13,Shipped
1128,89,2023-11-24,Cancelled
1129,69,2023-07-11,Delivered
1130,94,2023-11-10,Cancelled
1131,9,2023-08-21,Pending
1132,42,2023-02-01,Delivered
1133,77,2023-12-13,Delivered
1134,121,2023-10-21,Cancelled
1135,7,2023-08-20,Shipped
1136,137,2024-09-17,Pending
1137,108,2023-07-09,Shipped
1139,7,2023-03-09,Delivered
1140,48,2023-07-05,Cancelled
1141,97,2023-09-22,Delivered
1142,136,2024-06-03,Pending
1143,55,2024-06-19,Delivered
1144,149,2024-06-01,Shipped
1145,71,2023-02-02,Pending
1146,61,2023-02-19,Shipped
1147,15,2023-05-08,Shipped
1148,122,2023-06-14,Delivered
1149,153,2024-04-27,Shipped
1150,77,2024-03-01,Delivered
1151,88,2024-03-07,Shipped
1152,115,2024-03-03,Shipped
1153,44,2024-07-22,Pending
1154,165,2024-11-10,Cancelled
1155,88,2024-07-26,Cancelled
1156,93,2023-06-20,Delivered
1157,140,2023-02-08,Shipped
1158,132,2024-04-19,Shipped
1159,42,2023-09-10,Shipped
1160,53,2023-06-20,Pending
1161,93,2024-02-28,Pending
1162,74,2024-03-06,Pending
1163,51,2024-07-10,Shipped
1164,44,2023-10-11,Cancelled
1165,151,2024-12-22,Shipped
1166,106,2024-01-13,Shipped
1167,4,2023-08-26,Cancelled
1168,100,2023-02-11,Shipped
1169,30,2023-07-21,Shipped
1170,114,2023-05-08,Cancelled
1171,122,2024-02-10,Shipped
1172,26,2024-07-16,Shipped
1173,70,2024-01-09,Delivered
1174,120,2023-09-14,Cancelled
1175,10,2024-05-03,Shipped
1176,91,2023-01-14,Delivered
1177,58,2024-07-18,Delivered
1178,48,2023-07-05,Shipped
1179,168,2024-07-21,Shipped
1180,164,2023-06-23,Cancelled
1181,155,2023-08-28,Shipped
1182,93,2024-08-07,Pending
1183,162,2023-09-19,Delivered
1184,7,2023-06-23,Pending
1185,36,2024-08-20,Cancelled
1186,79,2023-07-02,Delivered
1187,108,2023-08-05,Delivered
1188,90,2024-06-15,Cancelled
1189,126,2024-09-22,Delivered
1190,59,2024-11-23,Shipped
1191,7,2024-12-01,Delivered
1192,81,2023-12-23,Pending
1193,18,2024-08-05,Pending
1194,27,2024-06-09,Shipped
1195,16,2023-04-17,Delivered
1196,101,2023-10-15,Shipped
1197,87,2023-08-09,Shipped
1198,50,2024-07-14,Shipped
1199,3,2023-11-01,Pending
1200,25,2024-01-10,Pending
1201,180,2024-03-26,Delivered
1202,20,2023-06-23,Delivered
1203,58,2024-12-04,Cancelled
1204,137,2023-07-22,Shipped
1205,56,2023-02-26,Delivered
1207,124,2024-03-02,Cancelled
1208,102,2023-02-25,Delivered
1209,100,2023-03-28,Pending
1210,96,2023-11-21,Pending
1211,108,2024-03-04,Cancelled
1212,80,2023-12-24,Shipped
1213,42,2023-06-20,Cancelled
1214,113,2023-11-11,Pending
1215,164,2024-06-22,Shipped
1216,38,2023-08-11,Delivered
1217,117,2024-08-15,Cancelled
1218,43,2023-07-02,Delivered
1219,159,2023-01-27,Pending
1220,46,2023-02-25,Pending
1221,26,2024-01-06,Cancelled
1222,114,2024-04-23,Cancelled
1223,84,2023-11-19,Shipped
1224,170,2023-12-27,Cancelled
1225,93,2024-05-13,Cancelled
1226,13,2023-12-24,Delivered
1227,167,2024-12-04,Cancelled
1228,152,2023-01-13,Shipped
1229,79,2024-12-26,Shipped
1230,160,2024-04-17,Cancelled
1231,150,2023-12-09,Delivered
1232,47,2023-05-15,Shipped
1233,153,2023-09-09,Delivered
1234,122,2024-11-20,Pending
1235,134,2024-07-18,Pending
1236,5,2024-10-17,Shipped
1237,117,2024-11-11,Cancelled
1238,149,2023-01-10,Shipped
1239,10,2023-11-21,Shipped
1240,109,2024-08-23,Shipped
1241,72,2024-07-13,Cancelled
1242,153,2023-12-28,Shipped
1243,127,2023-07-27,Shipped
1245,86,2024-11-26,Shipped
1246,58,2024-04-24,Cancelled
